Date,Cabo NSA value,Cabo SA value
2018-12-31,212.188893,212.775123
2018-11-30,212.38452038,212.29637133
2018-10-31,213.31508573,212.26699191
2018-09-30,213.4960804,211.34209468
2018-08-31,213.25350997,210.43440222
2018-07-31,212.75661061,209.44914596
2018-06-30,212.02157829,208.44353706
2018-05-31,210.64040168,207.34275323
2018-04-30,208.57010572,206.17739682
2018-03-31,206.38294652,205.24109591
2018-02-28,203.95675183,204.21566244
2018-01-31,201.52109761,202.47794897
2017-12-31,199.90693666,200.41294131
2017-11-30,199.12562851,199.02569554
2017-10-31,198.80141115,197.83531425
2017-09-30,198.46829547,196.51252646
2017-08-31,197.64809647,194.99863233
2017-07-31,196.49637605,193.38991516
2017-06-30,195.19793914,191.89746899
2017-05-31,193.48689654,190.4774294
2017-04-30,191.07992491,188.86272264
2017-03-31,188.41533891,187.43074184
2017-02-28,186.14748363,186.44578279
2017-01-31,184.55699883,185.48455424
2016-12-31,183.1242064,183.55783192
2016-11-30,181.81783775,181.69702127
2016-10-31,180.86605245,179.97625558
2016-09-30,180.04700746,178.30174480000005
2016-08-31,179.32492346,176.84195091
2016-07-31,178.25569054,175.32919247
2016-06-30,176.74522556,173.73681649
2016-05-31,174.85976699,172.17300306
2016-04-30,172.91341018,170.88482122
2016-03-31,170.52942845,169.70724040000005
2016-02-29,167.57460582,167.97396134
2016-01-31,165.71154161,166.67334822
2015-12-31,165.03266161,165.44576767
2015-11-30,164.34107968,164.19494392
2015-10-31,163.64161997,162.7744176
2015-09-30,163.10746548,161.45475955
2015-08-31,162.66138519,160.2937997
2015-07-31,162.03029068,159.24703614
2015-06-30,161.16266692,158.3569591
2015-05-31,159.98402202,157.54962016
2015-04-30,158.59286074,156.78041237
2015-03-31,156.72126111,156.08377106
2015-02-28,154.65961140000005,155.21998546
2015-01-31,153.53728368,154.58911556
2014-12-31,153.1003215,153.51254796
2014-11-30,153.01511773,152.83397994
2014-10-31,153.1687992,152.21167024
2014-09-30,153.34754915,151.6490372
2014-08-31,153.57333446,151.23498836
2014-07-31,153.43849477,150.70709582
2014-06-30,152.69110133,149.97514759
2014-05-31,151.7555666,149.48623765
2014-04-30,150.52206615,148.8965257
2014-03-31,148.63271999,148.17839603
2014-02-28,146.34364607,147.08575944
2014-01-31,144.33647786,145.45969736
2013-12-31,143.01289883,143.34872217
2013-11-30,142.25598752,141.97539422
2013-10-31,141.75794409999997,140.7080309
2013-09-30,140.86453662,139.14538149999998
2013-08-31,139.33881231,137.16257832
2013-07-31,137.11967477,134.66714478
2013-06-30,134.00223928,131.60673907
2013-05-31,130.56131994,128.68150793
2013-04-30,127.01377686,125.77734403
2013-03-31,123.16049734,122.94720355
2013-02-28,119.55149313,120.28686514
2013-01-31,116.81857124,117.71254411
2012-12-31,115.09897419,115.25337992
2012-11-30,114.20573095,113.83156594
2012-10-31,113.25072227,112.27263242
2012-09-30,111.90497349,110.46433046
2012-08-31,110.62036594,108.8824805
2012-07-31,109.60182378,107.68954097
2012-06-30,108.67311944,106.81314513
2012-05-31,107.52201522,106.08709103
2012-04-30,106.34894324,105.44407167
2012-03-31,104.93126299,104.86072072
2012-02-29,103.8952775,104.57856977
2012-01-31,104.06550732,104.7635515
2011-12-31,105.00721856,105.0023749
2011-11-30,105.8837199,105.3759127
2011-10-31,106.63359824,105.59468166
2011-09-30,107.70200173,106.25593908
2011-08-31,108.80137075,107.06646729
2011-07-31,109.97430535,108.10410716
2011-06-30,110.96412894,109.21304047
2011-05-31,111.71051208,110.39515799
2011-04-30,112.4615392,111.68359536
2011-03-31,112.9126119,112.95494619
2011-02-28,113.45846657,114.16865420000002
2011-01-31,114.57568779,115.19670166
2010-12-31,116.08894993,115.95340554
2010-11-30,117.48315551,116.80874157
2010-10-31,118.66661483,117.38291285
2010-09-30,119.92013613,118.21981842
2010-08-31,121.25098099,119.27601276
2010-07-31,122.17832075,120.11083044
2010-06-30,122.79762577,120.99808581
2010-05-31,123.27645427,122.00088596
2010-04-30,123.31441553,122.63627287
2010-03-31,123.08147897,123.23369155
